time,roll,pitch,yaw
1.220000,90.000000,-45.118927,0.000000
1.240000,90.000000,-45.126818,0.000000
1.260000,90.000000,-45.135070,0.000000
1.280000,90.000000,-45.143693,0.000000
1.300000,90.000000,-45.152698,0.000000
1.320000,90.000000,-45.162093,0.000000
1.340000,90.000000,-45.171890,-0.000000
1.360000,90.000000,-45.182098,0.000000
1.380000,90.000000,-45.192726,0.000000
1.400000,90.000000,-45.203786,-0.000000
1.420000,90.000000,-45.215288,0.000000
1.440000,90.000000,-45.227242,0.000000
1.460000,90.000000,-45.239658,0.000000
1.480000,90.000000,-45.252546,0.000000
1.500000,90.000000,-45.265918,0.000000
1.520000,90.000000,-45.279784,0.000000
1.540000,90.000000,-45.294153,0.000000
1.560000,90.000000,-45.309038,0.000000
1.580000,90.000000,-45.324447,0.000000
1.600000,90.000000,-45.340393,0.000000
1.620000,90.000000,-45.356886,-0.000000
1.640000,90.000000,-45.373936,0.000000
1.660000,90.000000,-45.391555,-0.000000
1.680000,90.000000,-45.409753,0.000000
1.700000,90.000000,-45.428540,0.000000
1.720000,90.000000,-45.447929,-0.000000
1.740000,90.000000,-45.467928,-0.000000
1.760000,90.000000,-45.488550,0.000000
1.780000,90.000000,-45.509806,0.000000
1.800000,90.000000,-45.531705,0.000000
1.820000,90.000000,-45.554259,-0.000000
1.840000,90.000000,-45.577479,0.000000
1.860000,90.000000,-45.601375,0.000000
1.880000,90.000000,-45.625958,0.000000
1.900000,90.000000,-45.651239,-0.000000
1.920000,90.000000,-45.677228,0.000000
1.940000,90.000000,-45.703937,0.000000
1.960000,90.000000,-45.731376,-0.000000
1.980000,90.000000,-45.759556,-0.000000
2.000000,90.000000,-45.788486,0.000000
2.020000,90.000000,-45.818179,0.000000
2.040000,90.000000,-45.848643,0.000000
2.060000,90.000000,-45.879890,0.000000
2.080000,90.000000,-45.911930,0.000000
2.100000,90.000000,-45.944773,0.000000
2.120000,90.000000,-45.978429,0.000000
2.140000,90.000000,-46.012909,0.000000
2.160000,90.000000,-46.048222,0.000000
2.180000,90.000000,-46.084378,0.000000
2.200000,90.000000,-46.121388,0.000000
2.220000,90.000000,-46.159261,-0.000000
2.240000,90.000000,-46.198006,0.000000
2.260000,90.000000,-46.237633,0.000000
2.280000,90.000000,-46.278152,0.000000
2.300000,90.000000,-46.319571,0.000000
2.320000,90.000000,-46.361901,0.000000
2.340000,90.000000,-46.405149,0.000000
2.360000,90.000000,-46.449325,-0.000000
2.380000,90.000000,-46.494438,-0.000000
2.400000,90.000000,-46.540496,0.000000
2.420000,90.000000,-46.587507,0.000000
2.440000,90.000000,-46.635481,0.000000
2.460000,90.000000,-46.684424,0.000000
2.480000,90.000000,-46.734345,0.000000
2.500000,90.000000,-46.785251,0.000000
2.520000,90.000000,-46.837151,0.000000
2.540000,90.000000,-46.890051,-0.000000
2.560000,90.000000,-46.943958,-0.000000
2.580000,90.000000,-46.998880,0.000000
2.600000,90.000000,-47.054823,0.000000
2.620000,90.000000,-47.111795,0.000000
2.640000,90.000000,-47.169800,0.000000
2.660000,90.000000,-47.228845,0.000000
2.680000,90.000000,-47.288936,-0.000000
2.700000,90.000000,-47.350079,0.000000
2.720000,90.000000,-47.412279,0.000000
2.740000,90.000000,-47.475541,0.000000
2.760000,90.000000,-47.539870,0.000000
2.780000,90.000000,-47.605270,0.000000
2.800000,90.000000,-47.671745,0.000000
2.820000,90.000000,-47.739301,0.000000
2.840000,90.000000,-47.807939,0.000000
2.860000,90.000000,-47.877665,0.000000
2.880000,90.000000,-47.948480,0.000000
2.900000,90.000000,-48.020389,0.000000
2.920000,90.000000,-48.093392,0.000000
2.940000,90.000000,-48.167493,0.000000
2.960000,90.000000,-48.242693,0.000000
2.980000,90.000000,-48.318995,-0.000000
3.000000,90.000000,-48.396398,-0.000000
3.020000,90.000000,-48.474904,0.000000
3.040000,90.000000,-48.554513,0.000000
3.060000,90.000000,-48.635227,-0.000000
3.080000,90.000000,-48.717043,0.000000
3.100000,90.000000,-48.799962,0.000000
3.120000,90.000000,-48.883984,0.000000
3.140000,90.000000,-48.969106,-0.000000
3.160000,90.000000,-49.055326,0.000000
3.180000,90.000000,-49.142644,0.000000
3.200000,90.000000,-49.231056,0.000000
3.220000,90.000000,-49.320559,0.000000
3.240000,90.000000,-49.411150,0.000000
3.260000,90.000000,-49.502826,-0.000000
3.280000,90.000000,-49.595583,0.000000
3.300000,90.000000,-49.689415,0.000000
3.320000,90.000000,-49.784317,0.000000
3.340000,90.000000,-49.880286,0.000000
3.360000,90.000000,-49.977314,0.000000
3.380000,90.000000,-50.075395,0.000000
3.400000,90.000000,-50.174523,0.000000
3.420000,90.000000,-50.274690,0.000000
3.440000,90.000000,-50.375889,0.000000
3.460000,90.000000,-50.478113,-0.000000
3.480000,90.000000,-50.581351,-0.000000
3.500000,90.000000,-50.685595,-0.000000
3.520000,90.000000,-50.790837,-0.000000
3.540000,90.000000,-50.897065,-0.000000
3.560000,90.000000,-51.004270,-0.000000
3.580000,90.000000,-51.112440,-0.000000
3.600000,90.000000,-51.221564,-0.000000
3.620000,90.000000,-51.331630,-0.000000
3.640000,90.000000,-51.442627,-0.000000
3.660000,90.000000,-51.554540,-0.000000
3.680000,90.000000,-51.667357,-0.000000
3.700000,90.000000,-51.781064,-0.000000
3.720000,90.000000,-51.895646,-0.000000
3.740000,90.000000,-52.011089,-0.000000
3.760000,90.000000,-52.127378,-0.000000
3.780000,90.000000,-52.244495,-0.000000
3.800000,90.000000,-52.362426,-0.000000
3.820000,90.000000,-52.481153,-0.000000
3.840000,90.000000,-52.600659,-0.000000
3.860000,90.000000,-52.720927,-0.000000
3.880000,90.000000,-52.841936,-0.000000
3.900000,90.000000,-52.963670,-0.000000
3.920000,90.000000,-53.086108,-0.000000
3.940000,90.000000,-53.209230,-0.000000
3.960000,90.000000,-53.333017,-0.000000
3.980000,90.000000,-53.457447,-0.000000
4.000000,90.000000,-53.582499,-0.000000
4.020000,90.000000,-53.708151,-0.000000
4.040000,90.000000,-53.834380,-0.000000
4.060000,90.000000,-53.961164,-0.000000
4.080000,90.000000,-54.088480,-0.000000
4.100000,90.000000,-54.216303,-0.000000
4.120000,90.000000,-54.344609,-0.000000
4.140000,90.000000,-54.473374,-0.000000
4.160000,90.000000,-54.602572,-0.000000
4.180000,90.000000,-54.732177,-0.000000
4.200000,90.000000,-54.862163,-0.000000
4.220000,90.000000,-54.992504,-0.000000
4.240000,90.000000,-55.123172,-0.000000
4.260000,90.000000,-55.254139,-0.000000
4.280000,90.000000,-55.385378,-0.000000
4.300000,90.000000,-55.516860,-0.000000
4.320000,90.000000,-55.648557,-0.000000
4.340000,90.000000,-55.780438,-0.000000
4.360000,90.000000,-55.912475,-0.000000
4.380000,90.000000,-56.044636,-0.000000
4.400000,90.000000,-56.176892,-0.000000
4.420000,90.000000,-56.309211,-0.000000
4.440000,90.000000,-56.441563,-0.000000
4.460000,90.000000,-56.573914,-0.000000
4.480000,90.000000,-56.706235,-0.000000
4.500000,90.000000,-56.838491,-0.000000
4.520000,90.000000,-56.970650,-0.000000
4.540000,90.000000,-57.102680,-0.000000
4.560000,90.000000,-57.234546,-0.000000
4.580000,90.000000,-57.366215,-0.000000
4.600000,90.000000,-57.497654,-0.000000
4.620000,90.000000,-57.628826,-0.000000
4.640000,90.000000,-57.759699,-0.000000
4.660000,90.000000,-57.890238,-0.000000
4.680000,90.000000,-58.020406,-0.000000
4.700000,90.000000,-58.150170,-0.000000
4.720000,90.000000,-58.279493,-0.000000
4.740000,90.000000,-58.408340,-0.000000
4.760000,90.000000,-58.536675,-0.000000
4.780000,90.000000,-58.664462,-0.000000
4.800000,90.000000,-58.791664,-0.000000
4.820000,90.000000,-58.918246,-0.000000
4.840000,90.000000,-59.044171,-0.000000
4.860000,90.000000,-59.169402,-0.000000
4.880000,90.000000,-59.293903,-0.000000
4.900000,90.000000,-59.417637,-0.000000
4.920000,90.000000,-59.540568,-0.000000
4.940000,90.000000,-59.662658,-0.000000
4.960000,90.000000,-59.783871,-0.000000
4.980000,90.000000,-59.904170,-0.000000
5.000000,90.000000,-60.023519,-0.000000
5.020000,90.000000,-60.141880,-0.000000
5.040000,90.000000,-60.259217,-0.000000
5.060000,90.000000,-60.375494,-0.000000
5.080000,90.000000,-60.490674,-0.000000
5.100000,90.000000,-60.604721,-0.000000
5.120000,90.000000,-60.717599,-0.000000
5.140000,90.000000,-60.829272,-0.000000
5.160000,90.000000,-60.939703,-0.000000
5.180000,90.000000,-61.048859,-0.000000
5.200000,90.000000,-61.156703,-0.000000
5.220000,90.000000,-61.263200,-0.000000
5.240000,90.000000,-61.368316,-0.000000
5.260000,90.000000,-61.472016,-0.000000
5.280000,90.000000,-61.574266,-0.000000
5.300000,90.000000,-61.675033,-0.000000
5.320000,90.000000,-61.774282,-0.000000
5.340000,90.000000,-61.871982,-0.000000
5.360000,90.000000,-61.968100,-0.000000
5.380000,90.000000,-62.062603,-0.000000
5.400000,90.000000,-62.155460,-0.000000
5.420000,90.000000,-62.246640,-0.000000
5.440000,90.000000,-62.336112,-0.000000
5.460000,90.000000,-62.423847,-0.000000
5.480000,90.000000,-62.509814,-0.000000
5.500000,90.000000,-62.593986,-0.000000
5.520000,90.000000,-62.676333,-0.000000
5.540000,90.000000,-62.756829,-0.000000
5.560000,90.000000,-62.835445,-0.000000
5.580000,90.000000,-62.912157,-0.000000
5.600000,90.000000,-62.986938,0.000000
5.620000,90.000000,-63.059764,-0.000000
5.640000,90.000000,-63.130610,0.000000
5.660000,90.000000,-63.199454,-0.000000
5.680000,90.000000,-63.266273,-0.000000
5.700000,90.000000,-63.331044,0.000000
5.720000,90.000000,-63.393749,-0.000000
5.740000,90.000000,-63.454365,-0.000000
5.760000,90.000000,-63.512876,-0.000000
5.780000,90.000000,-63.569261,-0.000000
5.800000,90.000000,-63.623505,-0.000000
5.820000,90.000000,-63.675591,-0.000000
5.840000,90.000000,-63.725503,-0.000000
5.860000,90.000000,-63.773228,-0.000000
5.880000,90.000000,-63.818752,-0.000000
5.900000,90.000000,-63.862064,-0.000000
5.920000,90.000000,-63.903150,-0.000000
5.940000,90.000000,-63.942003,-0.000000
5.960000,90.000000,-63.978612,-0.000000
5.980000,90.000000,-64.012971,-0.000000
6.000000,90.000000,-64.045071,-0.000000
6.020000,90.000000,-64.074907,-0.000000
6.040000,90.000000,-64.102476,-0.000000
6.060000,90.000000,-64.127773,-0.000000
6.080000,90.000000,-64.150797,-0.000000
6.100000,90.000000,-64.171546,-0.000000
6.120000,90.000000,-64.190020,-0.000000
6.140000,90.000000,-64.206222,-0.000000
6.160000,90.000000,-64.220154,-0.000000
6.180000,90.000000,-64.231819,-0.000000
6.200000,90.000000,-64.241224,-0.000000
6.220000,90.000000,-64.248374,-0.000000
6.240000,90.000000,-64.253277,-0.000000
6.260000,90.000000,-64.255942,-0.000000
6.280000,90.000000,-64.256380,-0.000000
6.300000,90.000000,-64.254601,-0.000000
6.320000,90.000000,-64.250619,-0.000000
6.340000,90.000000,-64.244448,-0.000000
6.360000,90.000000,-64.236103,-0.000000
6.380000,90.000000,-64.225601,-0.000000
6.400000,90.000000,-64.212960,-0.000000
6.420000,90.000000,-64.198198,-0.000000
6.440000,90.000000,-64.181338,-0.000000
6.460000,90.000000,-64.162400,-0.000000
6.480000,90.000000,-64.141408,-0.000000
6.500000,90.000000,-64.118386,-0.000000
6.520000,90.000000,-64.093360,-0.000000
6.540000,90.000000,-64.066356,-0.000000
6.560000,90.000000,-64.037404,-0.000000
6.580000,90.000000,-64.006532,-0.000000
6.600000,90.000000,-63.973771,-0.000000
6.620000,90.000000,-63.939153,-0.000000
6.640000,90.000000,-63.902712,-0.000000
6.660000,90.000000,-63.864481,0.000000
6.680000,90.000000,-63.824496,-0.000000
6.700000,90.000000,-63.782794,-0.000000
6.720000,90.000000,-63.739412,-0.000000
6.740000,90.000000,-63.694391,-0.000000
6.760000,90.000000,-63.647769,-0.000000
6.780000,90.000000,-63.599588,-0.000000
6.800000,90.000000,-63.549890,-0.000000
6.820000,90.000000,-63.498719,-0.000000
6.840000,90.000000,-63.446118,0.000000
6.860000,90.000000,-63.392134,-0.000000
6.880000,90.000000,-63.336812,-0.000000
6.900000,90.000000,-63.280200,-0.000000
6.920000,90.000000,-63.222346,-0.000000
6.940000,90.000000,-63.163299,-0.000000
6.960000,90.000000,-63.103109,-0.000000
6.980000,90.000000,-63.041827,0.000000
7.000000,90.000000,-62.979503,-0.000000
7.020000,90.000000,-62.916191,-0.000000
7.040000,90.000000,-62.851943,-0.000000
7.060000,90.000000,-62.786814,-0.000000
7.080000,90.000000,-62.720856,-0.000000
7.100000,90.000000,-62.654126,-0.000000
7.120000,90.000000,-62.586679,-0.000000
7.140000,90.000000,-62.518570,-0.000000
7.160000,90.000000,-62.449856,-0.000000
7.180000,90.000000,-62.380595,-0.000000
7.200000,90.000000,-62.310843,-0.000000
7.220000,90.000000,-62.240658,-0.000000
7.240000,90.000000,-62.170098,-0.000000
7.260000,90.000000,-62.099221,-0.000000
7.280000,90.000000,-62.028087,-0.000000
7.300000,90.000000,-61.956752,-0.000000
7.320000,90.000000,-61.885277,-0.000000
7.340000,90.000000,-61.813720,-0.000000
7.360000,90.000000,-61.742140,-0.000000
7.380000,90.000000,-61.670596,-0.000000
7.400000,90.000000,-61.599147,-0.000000
7.420000,90.000000,-61.527850,-0.000000
7.440000,90.000000,-61.456766,-0.000000
7.460000,90.000000,-61.385951,-0.000000
7.480000,90.000000,-61.315464,-0.000000
7.500000,90.000000,-61.245363,-0.000000
7.520000,90.000000,-61.175704,-0.000000
7.540000,90.000000,-61.106545,-0.000000
7.560000,90.000000,-61.037943,-0.000000
7.580000,90.000000,-60.969952,-0.000000
7.600000,90.000000,-60.902628,-0.000000
7.620000,90.000000,-60.836026,-0.000000
7.640000,90.000000,-60.770200,-0.000000
7.660000,90.000000,-60.705202,-0.000000
7.680000,90.000000,-60.641086,-0.000000
7.700000,90.000000,-60.577902,-0.000000
