time,roll,pitch,yaw
1.220000,90.000000,-45.114094,0.000000
1.240000,90.000000,-45.121467,0.000000
1.260000,90.000000,-45.129157,0.000000
1.280000,90.000000,-45.137172,-0.000000
1.300000,90.000000,-45.145517,0.000000
1.320000,90.000000,-45.154200,0.000000
1.340000,90.000000,-45.163228,0.000000
1.360000,90.000000,-45.172606,0.000000
1.380000,90.000000,-45.182342,0.000000
1.400000,90.000000,-45.192442,-0.000000
1.420000,90.000000,-45.202912,0.000000
1.440000,90.000000,-45.213758,-0.000000
1.460000,90.000000,-45.224987,0.000000
1.480000,90.000000,-45.236605,-0.000000
1.500000,90.000000,-45.248617,0.000000
1.520000,90.000000,-45.261030,-0.000000
1.540000,90.000000,-45.273849,0.000000
1.560000,90.000000,-45.287079,0.000000
1.580000,90.000000,-45.300727,0.000000
1.600000,90.000000,-45.314796,0.000000
1.620000,90.000000,-45.329293,0.000000
1.640000,90.000000,-45.344222,0.000000
1.660000,90.000000,-45.359589,0.000000
1.680000,90.000000,-45.375397,0.000000
1.700000,90.000000,-45.391651,-0.000000
1.720000,90.000000,-45.408356,0.000000
1.740000,90.000000,-45.425516,0.000000
1.760000,90.000000,-45.443134,0.000000
1.780000,90.000000,-45.461215,0.000000
1.800000,90.000000,-45.479761,0.000000
1.820000,90.000000,-45.498777,0.000000
1.840000,90.000000,-45.518265,0.000000
1.860000,90.000000,-45.538229,0.000000
1.880000,90.000000,-45.558671,0.000000
1.900000,90.000000,-45.579594,0.000000
1.920000,90.000000,-45.600999,0.000000
1.940000,90.000000,-45.622890,0.000000
1.960000,90.000000,-45.645267,0.000000
1.980000,90.000000,-45.668133,0.000000
2.000000,90.000000,-45.691490,0.000000
2.020000,90.000000,-45.715337,0.000000
2.040000,90.000000,-45.739677,-0.000000
2.060000,90.000000,-45.764509,0.000000
2.080000,90.000000,-45.789835,0.000000
2.100000,90.000000,-45.815654,0.000000
2.120000,90.000000,-45.841967,0.000000
2.140000,90.000000,-45.868774,0.000000
